book_id,title,author,genre,description,rating,year,pages,language,popularity_score,keywords,clean_description,no_stopwords,processed_text
15,A Beyond Orion,Lena Walker,Science Fiction,"A Beyond Orion follows a central character in an old estate who discovers that an old assumption was wrong. A a new technology gradually changes the direction of the story, while questions of identity and difficult choices shape the character's decisions. The narrative moves through setbacks, relationships, and unexpected discoveries in a character-driven style.",4.0,1993,356,English,51,"signal, system, space, technology, future",a beyond orion follows a central character in an old estate who discovers that an old assumption was wrong a a new technology gradually changes the direction of the story while questions of identity and difficult choices shape the characters decisions the narrative moves through setbacks relationships and unexpected discoveries in a characterdriven style,beyond orion follows central character old estate discovers old assumption wrong new technology gradually changes direction story questions identity difficult choices shape characters decisions narrative moves setbacks relationships unexpected discoveries characterdriven style,beyond orion follows central character old estate discovers old assumption wrong new technology gradually change direction story question identity difficult choice shape character decision narrative move setback relationship unexpected discovery characterdriven style
16,Shadows of Midnight Clue,Aarav Desai,Mystery,"Shadows of Midnight Clue explores how a person in a remote village responds when a puzzling clue becomes important to their life. The character must faces a difficult decision, while dealing with identity and change. Along the way, the story combines relationships, uncertainty, and personal change in a warm and reflective narrative.",4.0,1992,613,English,82,"secret, case, question, clue, evidence",shadows of midnight clue explores how a person in a remote village responds when a puzzling clue becomes important to their life the character must faces a difficult decision while dealing with identity and change along the way the story combines relationships uncertainty and personal change in a warm and reflective narrative,shadows midnight clue explores person remote village responds puzzling clue becomes important life character must faces difficult decision dealing identity change along way story combines relationships uncertainty personal change warm reflective narrative,shadow midnight clue explores person remote village responds puzzling clue becomes important life character must face difficult decision dealing identity change along way story combine relationship uncertainty personal change warm reflective narrative
17,A A House Divided,Sofia Iyer,Historical Fiction,"A A House Divided explores how a person in a small island responds when an event from another era becomes important to their life. The character must uncovers an unexpected connection, while dealing with difficult choices and loss. Along the way, the story combines relationships, uncertainty, and personal change in a atmospheric narrative.",4.6,2012,527,English,56,"journal, society, era, family, past",a a house divided explores how a person in a small island responds when an event from another era becomes important to their life the character must uncovers an unexpected connection while dealing with difficult choices and loss along the way the story combines relationships uncertainty and personal change in a atmospheric narrative,house divided explores person small island responds event another era becomes important life character must uncovers unexpected connection dealing difficult choices loss along way story combines relationships uncertainty personal change atmospheric narrative,house divided explores person small island responds event another era becomes important life character must uncovers unexpected connection dealing difficult choice loss along way story combine relationship uncertainty personal change atmospheric narrative
18,In Search of Beyond the Summit,Julian Nair,Adventure,"In Search of Beyond the Summit follows a central character in a changing workplace who must balance personal goals with responsibility. A a demanding journey gradually changes the direction of the story, while questions of family and loss shape the character's decisions. The narrative moves through setbacks, relationships, and unexpected discoveries in a dramatic style.",3.9,1987,298,English,46,"expedition, discovery, destination, journey, route",in search of beyond the summit follows a central character in a changing workplace who must balance personal goals with responsibility a a demanding journey gradually changes the direction of the story while questions of family and loss shape the characters decisions the narrative moves through setbacks relationships and unexpected discoveries in a dramatic style,search beyond summit follows central character changing workplace must balance personal goals responsibility demanding journey gradually changes direction story questions family loss shape characters decisions narrative moves setbacks relationships unexpected discoveries dramatic style,search beyond summit follows central character changing workplace must balance personal goal responsibility demanding journey gradually change direction story question family loss shape character decision narrative move setback relationship unexpected discovery dramatic style
19,A Finding Tomorrow,Elena Rao,Young Adult,"A Finding Tomorrow follows a central character in a university campus who faces a difficult decision. A changing friendships gradually changes the direction of the story, while questions of difficult choices and identity shape the character's decisions. The narrative moves through setbacks, relationships, and unexpected discoveries in a thoughtful style.",3.8,2024,562,English,42,"school, future, friendship, identity, change",a finding tomorrow follows a central character in a university campus who faces a difficult decision a changing friendships gradually changes the direction of the story while questions of difficult choices and identity shape the characters decisions the narrative moves through setbacks relationships and unexpected discoveries in a thoughtful style,finding tomorrow follows central character university campus faces difficult decision changing friendships gradually changes direction story questions difficult choices identity shape characters decisions narrative moves setbacks relationships unexpected discoveries thoughtful style,finding tomorrow follows central character university campus face difficult decision changing friendship gradually change direction story question difficult choice identity shape character decision narrative move setback relationship unexpected discovery thoughtful style
20,The Secret Last Escape,Adrian Morgan,Thriller,"The Secret Last Escape follows a central character in a changing workplace who uncovers an unexpected connection. A a narrow escape gradually changes the direction of the story, while questions of identity and difficult choices shape the character's decisions. The narrative moves through setbacks, relationships, and unexpected discoveries in a dramatic style.",3.3,2022,409,English,63,"tension, threat, secret, escape, danger",the secret last escape follows a central character in a changing workplace who uncovers an unexpected connection a a narrow escape gradually changes the direction of the story while questions of identity and difficult choices shape the characters decisions the narrative moves through setbacks relationships and unexpected discoveries in a dramatic style,secret last escape follows central character changing workplace uncovers unexpected connection narrow escape gradually changes direction story questions identity difficult choices shape characters decisions narrative moves setbacks relationships unexpected discoveries dramatic style,secret last escape follows central character changing workplace uncovers unexpected connection narrow escape gradually change direction story question identity difficult choice shape character decision narrative move setback relationship unexpected discovery dramatic style
21,Beyond Between Us,Isha Walker,Romance,"Beyond Between Us explores how a person in a crowded city responds when a complicated relationship becomes important to their life. The character must returns to a place from the past, while dealing with trust and loss. Along the way, the story combines relationships, uncertainty, and personal change in a thoughtful narrative.",4.9,2018,586,Hindi-English,61,"connection, emotion, meeting, promise, relationship",beyond between us explores how a person in a crowded city responds when a complicated relationship becomes important to their life the character must returns to a place from the past while dealing with trust and loss along the way the story combines relationships uncertainty and personal change in a thoughtful narrative,beyond us explores person crowded city responds complicated relationship becomes important life character must returns place past dealing trust loss along way story combines relationships uncertainty personal change thoughtful narrative,beyond u explores person crowded city responds complicated relationship becomes important life character must return place past dealing trust loss along way story combine relationship uncertainty personal change thoughtful narrative
22,Whispers of The Empty House,Nora Morgan,Horror,"Whispers of The Empty House explores how a person in a crowded city responds when a strange house becomes important to their life. The character must faces a difficult decision, while dealing with family and memory. Along the way, the story combines relationships, uncertainty, and personal change in a fast-moving narrative.",4.6,1996,213,Hindi-English,70,"fear, house, nightmare, strange, presence",whispers of the empty house explores how a person in a crowded city responds when a strange house becomes important to their life the character must faces a difficult decision while dealing with family and memory along the way the story combines relationships uncertainty and personal change in a fastmoving narrative,whispers empty house explores person crowded city responds strange house becomes important life character must faces difficult decision dealing family memory along way story combines relationships uncertainty personal change fastmoving narrative,whisper empty house explores person crowded city responds strange house becomes important life character must face difficult decision dealing family memory along way story combine relationship uncertainty personal change fastmoving narrative
23,The Last The Forgotten Chapel,Julian Nair,Horror,"The Last The Forgotten Chapel explores how a person in a small island responds when an unsettling discovery becomes important to their life. The character must works with an unlikely companion, while dealing with difficult choices and identity. Along the way, the story combines relationships, uncertainty, and personal change in a thoughtful narrative.",3.5,2018,556,English,95,"nightmare, fear, presence, strange, house",the last the forgotten chapel explores how a person in a small island responds when an unsettling discovery becomes important to their life the character must works with an unlikely companion while dealing with difficult choices and identity along the way the story combines relationships uncertainty and personal change in a thoughtful narrative,last forgotten chapel explores person small island responds unsettling discovery becomes important life character must works unlikely companion dealing difficult choices identity along way story combines relationships uncertainty personal change thoughtful narrative,last forgotten chapel explores person small island responds unsettling discovery becomes important life character must work unlikely companion dealing difficult choice identity along way story combine relationship uncertainty personal change thoughtful narrative
24,The The Last Letter,Isha Mitchell,Romance,"The The Last Letter follows a central character in an old estate who questions what they have been told. A a growing connection gradually changes the direction of the story, while questions of loss and change shape the character's decisions. The narrative moves through setbacks, relationships, and unexpected discoveries in a dramatic style.",4.7,2022,228,English,90,"promise, relationship, meeting, connection, emotion",the the last letter follows a central character in an old estate who questions what they have been told a a growing connection gradually changes the direction of the story while questions of loss and change shape the characters decisions the narrative moves through setbacks relationships and unexpected discoveries in a dramatic style,last letter follows central character old estate questions told growing connection gradually changes direction story questions loss change shape characters decisions narrative moves setbacks relationships unexpected discoveries dramatic style,last letter follows central character old estate question told growing connection gradually change direction story question loss change shape character decision narrative move setback relationship unexpected discovery dramatic style
25,In Search of Unmarked Door,Adrian Nair,Mystery,"In Search of Unmarked Door explores how a person in an old estate responds when a missing letter becomes important to their life. The character must questions what they have been told, while dealing with ambition and family. Along the way, the story combines relationships, uncertainty, and personal change in a thoughtful narrative.",4.2,2011,333,English,50,"secret, clue, question, evidence, case",in search of unmarked door explores how a person in an old estate responds when a missing letter becomes important to their life the character must questions what they have been told while dealing with ambition and family along the way the story combines relationships uncertainty and personal change in a thoughtful narrative,search unmarked door explores person old estate responds missing letter becomes important life character must questions told dealing ambition family along way story combines relationships uncertainty personal change thoughtful narrative,search unmarked door explores person old estate responds missing letter becomes important life character must question told dealing ambition family along way story combine relationship uncertainty personal change thoughtful narrative
26,The Quantum Dawn,Ethan Brooks,Science Fiction,"The Quantum Dawn follows a central character in an old estate who uncovers an unexpected connection. A an unfamiliar signal gradually changes the direction of the story, while questions of friendship and family shape the character's decisions. The narrative moves through setbacks, relationships, and unexpected discoveries in a emotionally layered style.",3.5,2023,473,English,86,"technology, future, system, space, signal",the quantum dawn follows a central character in an old estate who uncovers an unexpected connection a an unfamiliar signal gradually changes the direction of the story while questions of friendship and family shape the characters decisions the narrative moves through setbacks relationships and unexpected discoveries in a emotionally layered style,quantum dawn follows central character old estate uncovers unexpected connection unfamiliar signal gradually changes direction story questions friendship family shape characters decisions narrative moves setbacks relationships unexpected discoveries emotionally layered style,quantum dawn follows central character old estate uncovers unexpected connection unfamiliar signal gradually change direction story question friendship family shape character decision narrative move setback relationship unexpected discovery emotionally layered style
27,A Beneath the Floor,Aarav Rao,Horror,"A Beneath the Floor follows a central character in a changing workplace who returns to a place from the past. A a recurring nightmare gradually changes the direction of the story, while questions of family and difficult choices shape the character's decisions. The narrative moves through setbacks, relationships, and unexpected discoveries in a dramatic style.",3.6,1996,328,English,53,"house, strange, fear, nightmare, presence",a beneath the floor follows a central character in a changing workplace who returns to a place from the past a a recurring nightmare gradually changes the direction of the story while questions of family and difficult choices shape the characters decisions the narrative moves through setbacks relationships and unexpected discoveries in a dramatic style,beneath floor follows central character changing workplace returns place past recurring nightmare gradually changes direction story questions family difficult choices shape characters decisions narrative moves setbacks relationships unexpected discoveries dramatic style,beneath floor follows central character changing workplace return place past recurring nightmare gradually change direction story question family difficult choice shape character decision narrative move setback relationship unexpected discovery dramatic style
28,The Secret Ashes of Empire,Marcus Morgan,Historical Fiction,"The Secret Ashes of Empire follows a central character in a busy neighborhood who returns to a place from the past. A a family story gradually changes the direction of the story, while questions of identity and memory shape the character's decisions. The narrative moves through setbacks, relationships, and unexpected discoveries in a warm and reflective style.",4.1,2009,226,English,57,"era, journal, society, family, past",the secret ashes of empire follows a central character in a busy neighborhood who returns to a place from the past a a family story gradually changes the direction of the story while questions of identity and memory shape the characters decisions the narrative moves through setbacks relationships and unexpected discoveries in a warm and reflective style,secret ashes empire follows central character busy neighborhood returns place past family story gradually changes direction story questions identity memory shape characters decisions narrative moves setbacks relationships unexpected discoveries warm reflective style,secret ash empire follows central character busy neighborhood return place past family story gradually change direction story question identity memory shape character decision narrative move setback relationship unexpected discovery warm reflective style
29,The Hidden Borrowed Time,Leah Turner,Romance,"In The Hidden Borrowed Time, a character living in a crowded city becomes involved in circumstances surrounding a growing connection. As the situation develops, they confront family, change, and several difficult choices. The story focuses on personal consequences and changing relationships, with a warm and reflective atmosphere.",4.4,1997,394,English,38,"promise, emotion, meeting, connection, relationship",in the hidden borrowed time a character living in a crowded city becomes involved in circumstances surrounding a growing connection as the situation develops they confront family change and several difficult choices the story focuses on personal consequences and changing relationships with a warm and reflective atmosphere,hidden borrowed time character living crowded city becomes involved circumstances surrounding growing connection situation develops confront family change several difficult choices story focuses personal consequences changing relationships warm reflective atmosphere,hidden borrowed time character living crowded city becomes involved circumstance surrounding growing connection situation develops confront family change several difficult choice story focus personal consequence changing relationship warm reflective atmosphere
30,Whispers of Ashes of Empire,Anika Walker,Historical Fiction,"Whispers of Ashes of Empire follows a central character in a coastal town who must balance personal goals with responsibility. A a changing society gradually changes the direction of the story, while questions of family and friendship shape the character's decisions. The narrative moves through setbacks, relationships, and unexpected discoveries in a emotionally layered style.",3.6,2009,216,Hindi-English,68,"era, past, journal, family, society",whispers of ashes of empire follows a central character in a coastal town who must balance personal goals with responsibility a a changing society gradually changes the direction of the story while questions of family and friendship shape the characters decisions the narrative moves through setbacks relationships and unexpected discoveries in a emotionally layered style,whispers ashes empire follows central character coastal town must balance personal goals responsibility changing society gradually changes direction story questions family friendship shape characters decisions narrative moves setbacks relationships unexpected discoveries emotionally layered style,whisper ash empire follows central character coastal town must balance personal goal responsibility changing society gradually change direction story question family friendship shape character decision narrative move setback relationship unexpected discovery emotionally layered style
31,The Secret Almost Forever,Elena Mehta,Romance,"The Secret Almost Forever follows a central character in an old estate who discovers that an old assumption was wrong. A an unexpected meeting gradually changes the direction of the story, while questions of ambition and difficult choices shape the character's decisions. The narrative moves through setbacks, relationships, and unexpected discoveries in a warm and reflective style.",4.6,2026,582,Hindi-English,31,"meeting, emotion, promise, relationship, connection",the secret almost forever follows a central character in an old estate who discovers that an old assumption was wrong a an unexpected meeting gradually changes the direction of the story while questions of ambition and difficult choices shape the characters decisions the narrative moves through setbacks relationships and unexpected discoveries in a warm and reflective style,secret almost forever follows central character old estate discovers old assumption wrong unexpected meeting gradually changes direction story questions ambition difficult choices shape characters decisions narrative moves setbacks relationships unexpected discoveries warm reflective style,secret almost forever follows central character old estate discovers old assumption wrong unexpected meeting gradually change direction story question ambition difficult choice shape character decision narrative move setback relationship unexpected discovery warm reflective style
32,The Secret The New Beginning,Aarav Rao,Young Adult,"The Secret The New Beginning follows a central character in a university campus who faces a difficult decision. A an uncertain future gradually changes the direction of the story, while questions of memory and ambition shape the character's decisions. The narrative moves through setbacks, relationships, and unexpected discoveries in a emotionally layered style.",4.7,1987,560,English,61,"friendship, identity, future, change, school",the secret the new beginning follows a central character in a university campus who faces a difficult decision a an uncertain future gradually changes the direction of the story while questions of memory and ambition shape the characters decisions the narrative moves through setbacks relationships and unexpected discoveries in a emotionally layered style,secret new beginning follows central character university campus faces difficult decision uncertain future gradually changes direction story questions memory ambition shape characters decisions narrative moves setbacks relationships unexpected discoveries emotionally layered style,secret new beginning follows central character university campus face difficult decision uncertain future gradually change direction story question memory ambition shape character decision narrative move setback relationship unexpected discovery emotionally layered style
33,The Room Thirteen,Ethan Mitchell,Horror,"In The Room Thirteen, a character living in a busy neighborhood becomes involved in circumstances surrounding a strange house. As the situation develops, they confront friendship, family, and several difficult choices. The story focuses on personal consequences and changing relationships, with a warm and reflective atmosphere.",4.1,1993,436,English,55,"presence, house, strange, nightmare, fear",in the room thirteen a character living in a busy neighborhood becomes involved in circumstances surrounding a strange house as the situation develops they confront friendship family and several difficult choices the story focuses on personal consequences and changing relationships with a warm and reflective atmosphere,room thirteen character living busy neighborhood becomes involved circumstances surrounding strange house situation develops confront friendship family several difficult choices story focuses personal consequences changing relationships warm reflective atmosphere,room thirteen character living busy neighborhood becomes involved circumstance surrounding strange house situation develops confront friendship family several difficult choice story focus personal consequence changing relationship warm reflective atmosphere
34,In Search of Map of the Unknown,Aarav Sen,Adventure,"In Search of Map of the Unknown follows a central character in a small island who uncovers an unexpected connection. A a demanding journey gradually changes the direction of the story, while questions of ambition and change shape the character's decisions. The narrative moves through setbacks, relationships, and unexpected discoveries in a warm and reflective style.",3.6,1996,453,English,30,"route, destination, discovery, journey, expedition",in search of map of the unknown follows a central character in a small island who uncovers an unexpected connection a a demanding journey gradually changes the direction of the story while questions of ambition and change shape the characters decisions the narrative moves through setbacks relationships and unexpected discoveries in a warm and reflective style,search map unknown follows central character small island uncovers unexpected connection demanding journey gradually changes direction story questions ambition change shape characters decisions narrative moves setbacks relationships unexpected discoveries warm reflective style,search map unknown follows central character small island uncovers unexpected connection demanding journey gradually change direction story question ambition change shape character decision narrative move setback relationship unexpected discovery warm reflective style
